id,buttonLabel,speechUk
arm,ARM,ARM
disarm,DISARM,DISARM
vtx_power,ПОТУЖНІСТЬ VTX,ПОТУЖНІСТЬ VTX
battery,БАТАРЕЯ,БАТАРЕЯ
camera_0,КАМЕРА 0,КАМЕРА 0
camera_45,КАМЕРА 45,КАМЕРА 45
camera_90,КАМЕРА 90,КАМЕРА 90
control_invert,ІНВЕРСІЯ КЕРУВАННЯ,ІНВЕРСІЯ КЕРУВАННЯ
falling_throttle_up,МИ ПАДАЄМО ДАЙ ГАЗ ВГОРУ,МИ ПАДАЄМО ДАЙ ГАЗ ВГОРУ
shaking_throttle_up,ДРОН ТРЯСЕ THROTTLE ВГОРУ,ДРОН ТРЯСЕ THROTTLE ВГОРУ
throttle_up_large,,дуже сильно THROTTLE в гору
throttle_up_medium,,сильніше THROTTLE в гору
throttle_up_small,,трохи THROTTLE в гору
throttle_90,THROTTLE 90,THROTTLE 90
throttle_60,THROTTLE 60,THROTTLE 60
throttle_down_small,,трохи THROTTLE до низу
throttle_down_medium,,сильніше THROTTLE до низу
throttle_down_large,,дуже сильно THROTTLE до низу
throttle_down_slow,ПОВІЛЬНО ВНИЗ THROTTLE,ПОВІЛЬНО ВНИЗ THROTTLE
throttle_low,МАЛО THROTTLE,МАЛО THROTTLE
throttle_high,БАГАТО THROTTLE,БАГАТО THROTTLE
yaw_left_large,,дуже сильно yaw ліворуч
yaw_left_medium,,сильніше yaw ліворуч
yaw_left_small,,трохи yaw ліворуч
turn_left,ПОВЕРТАЄМО ЛІВОРУЧ,ПОВЕРТАЄМО ЛІВОРУЧ
yaw_right_small,,трохи yaw праворуч
yaw_right_medium,,сильніше yaw праворуч
yaw_right_large,,дуже сильно yaw праворуч
turn_right,ПОВЕРТАЄМО ПРАВОРУЧ,ПОВЕРТАЄМО ПРАВОРУЧ
dont_climb_fast,НЕ НАБИРАЙ ШВИДКО ВИСОТУ,НЕ НАБИРАЙ ШВИДКО ВИСОТУ
altitude_500,ВИСОТА 500,ВИСОТА 500
altitude_300,ВИСОТА 300,ВИСОТА 300
altitude_200,ВИСОТА 200,ВИСОТА 200
hold_altitude,ТРИМАЙ ВИСОТУ,ТРИМАЙ ВИСОТУ
dont_fly_backwards,НЕ ЛІТАЙ ЗАДОМ,НЕ ЛІТАЙ ЗАДОМ
level_horizon,ВИРІВНЯЙ ГОРИЗОНТ,ВИРІВНЯЙ ГОРИЗОНТ
raise_nose,ПІДНІМИ НІС ДРОНА,ПІДНІМИ НІС ДРОНА
pitch_up_large,,дуже сильно pitch в гору
pitch_up_medium,,сильніше pitch в гору
pitch_up_small,,трохи pitch в гору
pitch_down_small,,трохи pitch до низу
pitch_down_medium,,сильніше pitch до низу
pitch_down_large,,дуже сильно pitch до низу
fly_forward,ТРЕБА ЛЕТІТИ ВПЕРЕД,ТРЕБА ЛЕТІТИ ВПЕРЕД
pitch_forward,PITCH ВПЕРЕД,PITCH ВПЕРЕД
roll_right_small,,трохи roll праворуч
roll_right_medium,,сильно roll праворуч
roll_right_large,,дуже сильно roll праворуч
drone_tilted,ДРОН НАХИЛЕНИЙ,ДРОН НАХИЛЕНИЙ
pitch_back,PITCH НАЗАД,PITCH НАЗАД
roll_left_large,,дуже сильно roll ліворуч
roll_left_medium,,сильно roll ліворуч
roll_left_small,,трохи roll ліворуч
